=====Start GA=====
=====WFC Config=====
GridSize is 30
MaxLoops is 10000
Number Neighboors is 4
Take zone is True
Take initial zones is False
Take initial assets is False
Generate borders is True

* InitialZones (count: 0) are :

* InitialAssets (count: 0) are :

* Unique Tiles (count: 14) are :
0 is Border, nbInGrid: 0, NoBigtile
1 is Corner, nbInGrid: 36, NoBigtile
2 is Wall, nbInGrid: 411, NoBigtile
3 is EnemySpawner, nbInGrid: 1, NoBigtile
4 is Full, nbInGrid: 830, NoBigtile
5 is Goal, nbInGrid: 1, NoBigtile
6 is Air, nbInGrid: 4010, NoBigtile
7 is Big, nbInGrid: 36, BigTile => SubTile at 0/0
8 is Big, nbInGrid: 36, BigTile => SubTile at 0/1
9 is Big, nbInGrid: 36, BigTile => SubTile at 1/0
10 is Big, nbInGrid: 36, BigTile => SubTile at 1/1
11 is PenteSmall, nbInGrid: 60, NoBigtile
12 is Mid, nbInGrid: 100, NoBigtile
13 is MidEtPente, nbInGrid: 60, NoBigtile


=====GA Config=====
Genetic Algorithm: GAWantedZoneFixed
Population is (50, 100) 
nbGeneration is 2
crossProbability is 0.5
mutationProbability is 0.5
all genes mutable is True
nbZones is 100
----
Zone coverage size is 3
* Assets Wanted (count: 1) are :
13


=====GA Generations=====
Generation:1 - Fitness:45 - Assets:1 - NbAssets:45
Generation:2 - Fitness:49 - Assets:1 - NbAssets:49
0: Zone at 0/0, size: 3/3, proba:50000, assetID:2, prefabTag:None
1: Zone at 3/0, size: 3/3, proba:50000, assetID:7, prefabTag:None
2: Zone at 6/0, size: 3/3, proba:50000, assetID:2, prefabTag:None
3: Zone at 9/0, size: 3/3, proba:50000, assetID:12, prefabTag:None
4: Zone at 12/0, size: 3/3, proba:50000, assetID:9, prefabTag:None
5: Zone at 15/0, size: 3/3, proba:50000, assetID:7, prefabTag:None
6: Zone at 18/0, size: 3/3, proba:50000, assetID:9, prefabTag:None
7: Zone at 21/0, size: 3/3, proba:50000, assetID:3, prefabTag:None
8: Zone at 24/0, size: 3/3, proba:50000, assetID:10, prefabTag:None
9: Zone at 27/0, size: 3/3, proba:50000, assetID:3, prefabTag:None
10: Zone at 0/3, size: 3/3, proba:50000, assetID:5, prefabTag:None
11: Zone at 3/3, size: 3/3, proba:50000, assetID:13, prefabTag:None
12: Zone at 6/3, size: 3/3, proba:50000, assetID:3, prefabTag:None
13: Zone at 9/3, size: 3/3, proba:50000, assetID:11, prefabTag:None
14: Zone at 12/3, size: 3/3, proba:50000, assetID:13, prefabTag:None
15: Zone at 15/3, size: 3/3, proba:50000, assetID:13, prefabTag:None
16: Zone at 18/3, size: 3/3, proba:50000, assetID:1, prefabTag:None
17: Zone at 21/3, size: 3/3, proba:50000, assetID:13, prefabTag:None
18: Zone at 24/3, size: 3/3, proba:50000, assetID:7, prefabTag:None
19: Zone at 27/3, size: 3/3, proba:50000, assetID:0, prefabTag:None
